id;title;firstname;lastname;email;jobtitle;created_at;updated_at
1;dhr.;Valentijn;Broeckx;vbroeckx@superduper.com;medewerker administratie;2023-03-27 15:12:46;2023-03-27 15:12:46
2;drs.;Amy;Luitgardis van Neustrië;aluitgardisvanneustrië@superduper.com;medewerker administratie;2023-03-27 15:12:46;2023-03-27 15:12:46
3;mevr.;Yfke;Postma;ypostma@superduper.com;medewerker communicatie;2023-03-27 15:12:46;2023-03-27 15:12:46
4;dhr.;Pleun;Roessink;proessink@superduper.com;medewerker administratie;2023-03-27 15:12:46;2023-03-27 15:12:46
5;dhr.;Yasmine;van de Noordmark;yvandenoordmark@superduper.com;medewerker M&O;2023-03-27 15:12:46;2023-03-27 15:12:46
6;drs.;Micha;van Breugel;mvanbreugel@superduper.com;medewerker administratie;2023-03-27 15:12:46;2023-03-27 15:12:46
7;mevr.;Madelief;Vignon;mvignon@superduper.com;kassamedewerker;2023-03-27 15:12:46;2023-03-27 15:12:46
8;dhr.;Madelief;Ulrich;mulrich@superduper.com;magazijnmedewerker;2023-03-27 15:12:46;2023-03-27 15:12:46
9;mevr.;Loes;Martens;lmartens@superduper.com;verkoopassistent;2023-03-27 15:12:46;2023-03-27 15:12:46
10;drs.;Elise;Amalrada;eamalrada@superduper.com;verkoopadviseur;2023-03-27 15:12:46;2023-03-27 15:12:46
11;drs.;Giovanni;Gnodde;ggnodde@superduper.com;medewerker administratie;2023-03-27 15:12:46;2023-03-27 15:12:46
12;dhr.;Fenne;de Bruin;fdebruin@superduper.com;medewerker administratie;2023-03-27 15:12:46;2023-03-27 15:12:46
13;dr.;Joost;van den Brink;jvandenbrink@superduper.com;verkoopassistent;2023-03-27 15:12:46;2023-03-27 15:12:46
14;ing.;Levi;Jansen;ljansen@superduper.com;medewerker administratie;2023-03-27 15:12:46;2023-03-27 15:12:46
15;ing.;Selina;van de Ven;svandeven@superduper.com;kwaliteitsmanager;2023-03-27 15:12:46;2023-03-27 15:12:46
16;drs.;Jason;Arnold;jarnold@superduper.com;medewerker administratie;2023-03-27 15:12:46;2023-03-27 15:12:46
17;dr.;Helena;Rouwhorst;hrouwhorst@superduper.com;medewerker communicatie;2023-03-27 15:12:46;2023-03-27 15:12:46
18;ing.;Tirza;van Loon;tvanloon@superduper.com;medewerker administratie;2023-03-27 15:12:46;2023-03-27 15:12:46
19;drs.;Jolijn;van Baalen;jvanbaalen@superduper.com;medewerker administratie;2023-03-27 15:12:46;2023-03-27 15:12:46
20;drs.;Mia;Kanhai;mkanhai@superduper.com;medewerker administratie;2023-03-27 15:12:46;2023-03-27 15:12:46
21;drs.;Dana;van den Heuvel;dvandenheuvel@superduper.com;verkoopassistent;2023-03-27 15:12:46;2023-03-27 15:12:46
22;dhr.;Megan;Brouwer;mbrouwer@superduper.com;medewerker administratie;2023-03-27 15:12:46;2023-03-27 15:12:46
23;mevr.;Mason;Weerdenburg;mweerdenburg@superduper.com;medewerker communicatie;2023-03-27 15:12:46;2023-03-27 15:12:46
24;dhr.;Jelte;Mol;jmol@superduper.com;medewerker administratie;2023-03-27 15:12:46;2023-03-27 15:12:46
25;mevr.;Victor;Jacobs;vjacobs@superduper.com;medewerker administratie;2023-03-27 15:12:46;2023-03-27 15:12:46
